make,model,year_from,year_to,tire_width,tire_profile,rim_diameter,rim_width,bolt_pattern
Lada,Vesta,2015,2026,195,60,15,6.0,4x100
Lada,Granta,2011,2026,175,65,14,5.5,4x98
Lada,Largus,2012,2026,185,65,15,6.0,4x100
Lada,XRAY,2015,2026,195,55,16,6.5,4x100
Lada,Niva,1977,2026,215,65,16,6.5,5x139.7
Toyota,Camry,2018,2026,215,55,17,7.0,5x114.3
Toyota,Camry,2006,2017,205,60,16,6.5,5x114.3
Toyota,RAV4,2019,2026,235,55,19,7.5,5x114.3
Toyota,RAV4,2013,2018,225,65,17,7.0,5x114.3
Toyota,Corolla,2019,2026,205,55,16,6.5,5x100
Toyota,Corolla,2013,2018,195,65,15,6.0,5x100
Toyota,Land Cruiser,2008,2026,285,60,18,8.0,5x150
Honda,Civic,2021,2026,215,55,16,6.5,5x114.3
Honda,Civic,2012,2020,205,55,16,6.5,5x114.3
Honda,CR-V,2017,2026,235,60,18,7.0,5x114.3
Hyundai,Solaris,2017,2026,195,55,16,6.0,4x100
Hyundai,Solaris,2011,2016,185,65,15,6.0,4x100
Hyundai,Creta,2021,2026,215,60,17,7.0,5x114.3
Hyundai,Creta,2016,2020,205,60,16,6.5,5x114.3
Hyundai,Tucson,2021,2026,225,50,18,7.5,5x114.3
Kia,Rio,2017,2026,195,55,15,6.0,4x100
Kia,Sportage,2021,2026,235,55,19,7.5,5x114.3
Kia,K5,2020,2026,225,45,18,8.0,5x114.3
Volkswagen,Polo,2020,2026,205,55,16,6.5,5x112
Volkswagen,Tiguan,2017,2026,235,55,17,7.0,5x112
Volkswagen,Passat,2015,2026,205,55,16,7.0,5x112
Skoda,Octavia,2020,2026,205,55,16,6.5,5x112
Skoda,Rapid,2012,2026,195,65,15,6.0,5x100
BMW,3 Series,2019,2026,225,45,18,8.0,5x112
BMW,5 Series,2017,2026,245,45,18,8.5,5x112
BMW,X5,2019,2026,275,40,20,10.0,5x112
Mercedes-Benz,C-Class,2021,2026,225,45,18,7.5,5x112
Mercedes-Benz,E-Class,2016,2026,245,40,18,8.5,5x112
Audi,A4,2016,2026,225,50,17,7.5,5x112
Audi,Q5,2017,2026,235,55,18,7.5,5x112
Renault,Logan,2014,2026,185,65,15,6.0,4x100
Renault,Duster,2021,2026,215,65,16,6.5,5x114.3
Renault,Duster,2012,2020,215,65,16,6.5,4x100
Nissan,Qashqai,2021,2026,215,60,17,7.0,5x114.3
Nissan,X-Trail,2015,2026,225,60,17,7.0,5x114.3
Mazda,CX-5,2017,2026,225,55,19,7.5,5x114.3
Mazda,3,2019,2026,215,45,18,7.0,5x114.3
Mitsubishi,Outlander,2015,2026,225,55,18,7.5,5x114.3
Mitsubishi,Pajero Sport,2016,2026,265,60,18,8.0,6x139.7
Chery,Tiggo 7 Pro,2020,2026,225,55,18,7.0,5x108
Chery,Tiggo 4,2017,2026,215,55,17,6.5,5x108
Haval,F7,2019,2026,235,55,18,7.0,5x114.3
Haval,Jolion,2021,2026,215,55,17,7.0,5x114.3
Geely,Atlas Pro,2021,2026,235,55,18,7.0,5x114.3
GAZ,Gazelle Next,2013,2026,185,75,16,6.0,6x170
